Nama Jalan;Latitude ;Longitude;volume Sampah
Jln.Kurai no 54;-0.317759;100.390778;2
Jln.Kurai no 54;-0.31722;100.390701;1
Jln.Kurai no 2A;-0.315679;100.390533;4
Jln.Raya Pakan Labuah no 85;-0.31571;100.391846;3
Jln.tigobaleh no 7;-0.315057;100.393242;2
Jln.tigobaleh no 7;-0.314009;100.394699;2
Jln.tigobaleh no 9;-0.313726;100.395073;1
Jln.tigobaleh no 10;-0.313356;100.396637;2
Jln.sumur no 11;-0.312254;100.39904;2
Jln.sumur no 13;-0.311231;100.398613;2
Jln.sumur no 19;-0.310623;100.398193;3
Jln.sumur no 100;-0.309457;100.397354;1
Jln.sumur no 91;-0.30885;100.396194;1
Jln. Sumur nokel ladang cakiah;-0.307887;100.395172;2
Jln.sumur no 12;-0.307475;100.394745;2
Jln.sumur no 12;-0.306658;100.393929;1
Jln.sumur no 10-12;-0.305505;100.392738;2
Jln.koto selayan no 54 parit antang;-0.306441;100.390915;1
jln. Haji miskin gang bhayangkara no 04;-0.307234;100.390686;1
Jln.koto selayan no 54 parit antang;-0.307937;100.390671;2
Jln.koto selayan no 54 parit antang;-0.308805;100.391167;3
jln.Koto selayan no 54 parit antang;-0.310473;100.392105;3
Jln. Tigo Baleh  no 31 Parit antang;-0.31102;100.391663;3
jln.Labuah Baru no 58 parit antang ;-0.311243;100.391212;2
Jln. Kurai no 49 parit antang;-0.311745;100.3899;1
Jln.Kurai no 2A;-0.310439;100.389755;2
jln. Kurai  parit antang;-0.308513;100.389702;4
jJln.kuarai parit antang;-0.307753;100.389252;2
Jln. By pass no 44 aur kuning ;-0.317102;100.387054;4
jln.by pass aur atas aur kuning;-0.323041;100.386665;4
jln. Adinegoro no 52 aur kuning ;-0.321024;100.384201;1
jln.adinegoro no 32  aur kuning;-0.32076;100.383308;1
jln.adinegoro no 20 aur kuning;-0.320637;100.38266;1
jln.Banda kubu no 15 aur kuning;-0.32052;100.382286;2
jln.Banda kubu no 15 aur kuning;-0.320372;100.381905;3
jln.Adinegoro no 2a birugo;-0.31973;100.379372;2
jln.Adinegoro no 14 Birugo;-0.319426;100.378288;1
jln.Batang masang no 252 Birugo;-0.319181;100.375832;2
jln. Batang masang no 339 Birugo;-0.319233;100.375069;3
jln.Batang masang no 86 Birugo;-0.318768;100.373985;3
jln. Batang masang no 98 Birugo;-0.317304;100.372757;2
jln.kehakiman no 373 belakang balok;-0.31695;100.372581;5
jln. Perwira no 58 belakang balok;-0.315436;100.369682;4
jalan kompelk pln no 35  belakang balok;-0.313718;100.369227;3
jln.prof hazairin no5 belakang balok;-0.312115;100.370605;2
jln. Batang masang no 171 belakang balok;-0.313976;100.371346;3
jln.Batang masang no 4 belakang balok ;-0.315359;100.371902;2
jln.proma no 2a belakang balok ;-0.31594;100.373192;2
Denzibang 5/1 bukit barisan sapiran;-0.315186;100.373863;1
jln.sudirman  no 24 RW 1 belakang balok;-0.314019;100.373344;1
jln.Batang Masang no2 Belakang Balok;-0.314647;100.371811;1
